,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GRM7,0.41261148,0.097387515,0.0,0.0,0.0,0.56644607,0.0,0.24733451,0.0,0.0,0.0,0.0,0.0,0.014609655,0.6484069,1.1630998,1.046394,0.0,0.0,0.0
MTNR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.14147907,2.9639316,0.0,0.15090357,1.357138,0.0,1.9064646,0.0,0.0,0.11855123,0.0,0.29008874,0.60848504,1.5026237
LDLR,0.51713836,0.0,0.109666735,0.0,0.0,0.17391087,0.0,0.25358623,0.0,0.03938189,0.0,0.0,0.0,0.12625785,0.32236657,0.7200879,0.14385253,0.0,0.0,0.0
LRP1,0.18025021,0.5591066,0.0,0.62806296,0.0,0.22117737,0.0,0.0,0.0,0.0,0.0,0.25977272,0.0,0.11623893,0.0,1.2057163,0.40345803,0.27292186,0.0,0.40159675
LRP2,0.33236,0.0,0.0,0.0,0.0,0.51261306,0.0,0.4682566,0.0,0.080898784,0.0,0.0,0.0,0.56562394,0.0,0.723973,0.46447378,0.0,0.0958814,0.0
ADRB2,0.0,0.0,0.0,0.047495883,0.0,0.0,2.173947,0.0,0.101623535,0.0,0.0,0.0,3.180652,0.0,0.0,0.0,0.0,1.3459382,0.0,0.0
CALCR,0.0,0.0,0.52593863,0.0,0.0,0.19752677,0.0,2.8104982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933236,0.0,0.0,0.0,1.4238563
ITGAM,0.0,0.9218971,0.0,0.0,0.0,1.747819,0.0,0.072315566,0.0,0.0,0.0,0.0,0.0,0.08074151,0.0,2.700753,3.1675932,0.0,0.0,0.0
ITGB2,0.0,0.0,0.0,0.0,0.0,0.10913156,0.0,0.74471027,0.0,0.0,0.0,0.0,0.0,0.19202466,0.22125697,0.5243602,0.25971913,0.0,0.42531115,0.0
LDLR,0.51713836,0.0,0.109666735,0.0,0.0,0.17391087,0.0,0.25358623,0.0,0.03938189,0.0,0.0,0.0,0.12625785,0.32236657,0.7200879,0.14385253,0.0,0.0,0.0
LRP1,0.18025021,0.5591066,0.0,0.62806296,0.0,0.22117737,0.0,0.0,0.0,0.0,0.0,0.25977272,0.0,0.11623893,0.0,1.2057163,0.40345803,0.27292186,0.0,0.40159675
LRP2,0.33236,0.0,0.0,0.0,0.0,0.51261306,0.0,0.4682566,0.0,0.080898784,0.0,0.0,0.0,0.56562394,0.0,0.723973,0.46447378,0.0,0.0958814,0.0
LRP6,0.0,0.0,0.0,0.0,0.0,0.9031841,0.0,0.0,0.0,0.33190617,0.0,1.6733985,0.0,2.9496462,0.0,2.6849723,0.0,0.0,0.0,0.0
LRP8,0.92146057,0.0,0.43741676,0.0,0.0,0.0,0.0,0.67494464,0.0,0.0,0.0,0.0,0.0,0.24378389,0.0,0.054362882,0.0,0.25095388,0.0,0.4255033
OLR1,1.955161,0.0,0.93998843,0.0,0.0,1.5817204,0.0,1.1988285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20950961,0.0,0.31698003,0.0
TLR4,0.0,1.9863107,0.0,0.0,0.1403462,0.0,0.0,0.0,2.4226546,1.2967237,2.4950566,0.0,0.0,1.8503703,0.0,0.0,0.0,0.0,0.0,0.0
TLR6,0.06353165,0.0,0.0,0.0,0.0,0.0,0.0,0.8598651,0.013508953,0.029426336,0.0,0.0,0.23404354,1.5182035,0.0,0.15014596,0.0,0.0,0.0,0.08994869
VLDLR,0.0,0.0,0.7610885,0.0,0.0,0.0,0.0,2.1569026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2251422
VLDLR,0.0,0.0,0.7610885,0.0,0.0,0.0,0.0,2.1569026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2251422
LDLR,0.51713836,0.0,0.109666735,0.0,0.0,0.17391087,0.0,0.25358623,0.0,0.03938189,0.0,0.0,0.0,0.12625785,0.32236657,0.7200879,0.14385253,0.0,0.0,0.0
LRP1,0.18025021,0.5591066,0.0,0.62806296,0.0,0.22117737,0.0,0.0,0.0,0.0,0.0,0.25977272,0.0,0.11623893,0.0,1.2057163,0.40345803,0.27292186,0.0,0.40159675
LRP2,0.33236,0.0,0.0,0.0,0.0,0.51261306,0.0,0.4682566,0.0,0.080898784,0.0,0.0,0.0,0.56562394,0.0,0.723973,0.46447378,0.0,0.0958814,0.0
SDC2,0.0,0.0,0.0,0.0,0.55060977,0.0,0.0,0.0,0.0,0.57534635,0.3684153,0.0,1.4553324,1.6262647,0.0,0.0,0.0,1.2010038,2.4431498,0.0
TLR2,0.7075475,0.5720019,0.118015856,0.0,0.015318367,0.0,0.0,0.28244108,0.38394555,0.0,0.0,0.0,0.0,0.51530445,0.0,0.38427442,0.0,0.0,0.1965718,0.1552987
LEPR,0.8061877,0.28330183,0.0,0.0,0.0,0.21167606,0.0,0.9178312,0.0,0.0,0.0,0.0,0.0651403,0.0,0.07627328,0.2212662,0.0,0.0,0.3055349,0.07320018
